Accident_Number,Event_Date,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_of_Flight
ATL00LA092,09/17/2000,"ATLANTA, GA",United States,33.748997,-84.387985,,,Non-Fatal,,N853AS,Bombardier,CRJ-200,SCHD,(DBA: DELTA CONNECTION),0,1,50,VMC,CRUISE
DCA08FA018,12/16/2007,"Providence, RI",United States,41.82399,-71.412834,KPVD,Theodore F. Green State,Non-Fatal,Substantial,N470ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines,0,0,34,IMC,LANDING
DCA10CA018,12/18/2009,"Dallas, TX",United States,32.896944,-97.038055,DFW,Dallas/Fort Worth Intl Airport,Non-Fatal,Substantial,N515AE,Bombardier,CL-600,SCHD,American Eagle,0,0,3,VMC,STANDING
ENG12IA004,10/23/2011,"Atlanta, GA",United States,33.748997,-84.387985,ATL,Hartsfield-Jackson Atlanta Int,Incident,,N751EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,,,LANDING
DCA11CA084A,07/14/2011,"Boston, MA",United States,42.353333,-71.014444,BOS,GENERAL EDWARD LAWRENCE LOGAN,Non-Fatal,Substantial,N132EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC (DBA: ATLANTIC SOUTHEAST AIRLINES -Delta Connection),0,0,291,VMC,STANDING
ATL02FA113,06/02/2002,"Atlanta, GA",United States,33.645277,-84.433056,ATL,Atlanta Hartsfield,Non-Fatal,Substantial,N849AS,Bombardier,CL-600,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,53,VMC,LANDING
DCA09FA033,02/28/2009,"Tallahassee, FL",United States,30.396389,-84.350278,TLH,Tallahassee Regional Airport,Non-Fatal,Substantial,N830AS,Bombardier,CRJ-200,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,2,,STANDING
CHI01LA066,01/08/2001,"Detroit, MI",United States,42.332939,-83.047836,DTW,DETROIT METROPOLITAN WAYNE CO.,Non-Fatal,Substantial,N784CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,31,VMC,STANDING
NYC01IA072,01/03/2001,"Covington, KY",United States,39.083672,-84.508553,,,Incident,Minor,N933CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,46,VMC,APPROACH
ENG14IA029,09/13/2014,"Hodeida, Yemen",Yemen,14.764444,42.981945,,N/A,Incident,Minor,7O-FAB,Bombardier,CRJ-700,SCHD,Felix Airways,0,0,,UNK,TAKEOFF
WPR13IA144,03/05/2013,"Danville, CA",United States,37.839444,-122.003333,SJC,Norman Y. Mineta San Jose Int,Incident,Minor,N417QX,Bombardier,DHC-8,SCHD,Horizon Air,0,0,51,VMC,CLIMB
